route_id,route_short_name,route_long_name,direction,headway_minutes,total_trips,trip_id,trip_start_time,stop_order,stop_name,arrival_time,departure_time
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,1,Nust Metro Station,6:00:00,6:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,2,NPA Stop,6:04:40,6:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,3,Islamic University,6:07:20,6:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,4,FAST University,6:10:20,6:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,5,PAEC General Hospital,6:13:00,6:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,6,IMC Hospital,6:15:05,6:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,7,Metro CNC,6:17:45,6:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,8,Sabzi Mandi,6:19:25,6:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,9,Mandi Morh,6:22:15,6:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,10,Kurang Road Stop,6:24:00,6:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,11,IESCO,6:26:00,6:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,12,PTCL I-10,6:27:50,6:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,13,Sui Gas Stop,6:29:35,6:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,14,OGTI Stop,6:35:25,6:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,15,CDA Complain Center,6:39:35,6:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176064-0,6:00:00,16,MCI Model School,6:45:00,6:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,1,Nust Metro Station,7:00:00,7:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,2,NPA Stop,7:04:40,7:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,3,Islamic University,7:07:20,7:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,4,FAST University,7:10:20,7:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,5,PAEC General Hospital,7:13:00,7:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,6,IMC Hospital,7:15:05,7:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,7,Metro CNC,7:17:45,7:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,8,Sabzi Mandi,7:19:25,7:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176065-0,7:00:00,9,Mandi Morh,7:22:15,7:22:35
